,g,cpi,u,i,oil,usdgbp,p,he
2019Q1,0.5,1.9,3.8,0.75,63.17,1.302795569686958,106.78875900209522,362.73427500344866
2019Q2,0.2,2.0,3.9,0.75,68.92333333333333,1.2852903318912927,108.01636536758232,386.9475437903191
2019Q3,0.6,1.8,3.9,0.75,61.93,1.2329725353705443,107.9943515752064,376.0244885387178
2019Q4,0.0,1.4,3.7,0.75,63.41,1.2883166491270173,108.4004304546886,358.3272938166676
2020Q1,-2.7,1.7,4.1,0.6131868131868131,50.44,1.2799088493444757,108.60416790513082,378.33184882859695
2020Q2,-19.9,0.6,4.1,0.0999999999999999,29.343333333333334,1.2414797453275022,108.66446355978782,360.2481632687871
2020Q3,17.0,0.6,5.0,0.1,42.96333333333333,1.293020990758286,108.64231768465764,350.45482331808495
2020Q4,1.4,0.5,5.3,0.1,44.29,1.3203914457902963,108.94243260696202,327.51114654843417
2021Q1,-1.1,0.6,4.9,0.1,60.82,1.3790754302358053,109.2557929125616,349.9569601664522
2021Q2,7.0,2.1,4.7,0.0999999999999999,68.83333333333333,1.3984805122169188,110.94641729454337,370.69536000358187
2021Q3,1.7,2.8,4.4,0.1,73.47,1.377924693455266,111.68430257982806,360.9684680176275
2021Q4,1.4,4.9,4.2,0.1260869565217391,79.58666666666666,1.3488753474268051,114.28061180470314,402.83871025457404
2022Q1,1.0,6.2,3.8,0.45,100.29666666666668,1.3421021587513309,116.02965207314044,432.8967597259014
2022Q2,0.6,9.2,3.8,0.9478021978021978,113.54333333333334,1.2563632631917236,121.15348768564137,628.6993305660749
2022Q3,0.1,10.0,3.7,1.6141304347826086,100.71333333333332,1.1763552279236766,122.85273283781088,612.5634902259139
2022Q4,0.3,10.7,3.9,2.823369565217391,88.55666666666667,1.174638889828174,126.50863726780638,758.5452914093629
2023Q1,0.1,10.2,4.0,3.8472222222222223,81.17333333333333,1.2152964656671592,127.86467658460076,807.3524568888062
2023Q2,0.0,8.4,4.2,4.43956043956044,78.31666666666666,1.2518735949582736,131.33038065123523,774.5575752574042
2023Q3,-0.2,6.7,4.1,5.1603260869565215,86.66000000000001,1.2660186237791349,131.0838659379442,640.12884728608
2023Q4,-0.3,4.2,3.9,5.25,83.72333333333333,1.2422408796162685,131.82200003305425,593.9409631735311
2024Q1,0.7,3.5,4.3,5.25,83.00333333333333,1.268134405596099,132.33994026506178,660.4143097350435
2024Q2,0.6,2.1,4.2,5.25,84.64666666666666,1.2623073789542876,134.08831864491117,564.6524723626477
2024Q3,0.2,2.0,4.3,5.084239130434782,79.84333333333333,1.3011255781037416,133.7055432567031,509.54256243971975
2024Q4,0.4,2.5,4.4,4.850543478260869,74.61333333333333,1.2809054576726184,135.1175500338806,552.3650957513839
2025Q1,0.6,2.8,4.6,4.6,75.81333333333333,1.2602952671477945,136.04545859248353,594.3728787615391
2025Q2,0.2,3.5,4.7,4.351648351648351,68.00666666666666,1.3360020057473605,138.78140979748304,602.4841880109451
2025Q3,0.1,3.8,5.0,4.100543478260869,68.96666666666667,1.348378545248577,138.7863539004578,556.9300207466136
2025Q4,0.1,3.4,5.2,3.9619565217391295,63.626666666666665,1.3294081123281545,139.71154673503256,565.6218580494171
2026Q1,0.6,3.1,5.0,3.75,80.20666666666666,1.3484569343634731,140.2628678088505,612.7984380031468
2026Q2,0.4,2.8,4.9,3.75,103.27666666666669,1.342976167324629,142.66728927181256,565.1301683542665
